question,reponse

YOU THINK I'M COOL?,I think you're pretty swell.

WHAT DO YOU THINK OF ME AS A PERSON?,I think you're pretty swell.

ENOUGH ABOUT ME, WHAT DO YOU THINK OF ME?,I think you're pretty swell.

ENOUGH ABOUT ME, WHAT DO YOU THINK ABOUT ME?,I think you're pretty swell.

WHAT'S YOUR OPINION OF MY CHARACTER?,I think you're pretty swell.

WHAT'S YOUR OPINION OF ME?,I think you're pretty swell.

WHAT KIND OF PERSON DO YOU THINK I AM?,I think you're pretty swell.

WHAT IS YOUR OPINION OF ME?,I think you're pretty swell.

WHAT DO YOU THINK OF MY CHARACTER?,I think you're pretty swell.

BE HONEST, WHAT DO YOU THINK OF ME?,I think you're pretty swell.

I'M BLOWING MY TOP,Oh no! I'm sorry to hear that.

I AM ABSOLUTELY LIVID,Oh no! I'm sorry to hear that.

I'M FURIOUS RIGHT NOW,Oh no! I'm sorry to hear that.

I'M FURIOUS,Oh no! I'm sorry to hear that.

I'M FEELING TICKED OFF ,Oh no! I'm sorry to hear that.

I'M FEELING KIND OF MAD,Oh no! I'm sorry to hear that.

I'M FEELING HOT UNDER THE COLLAR,Oh no! I'm sorry to hear that.

I'M FEELING CROSS,Oh no! I'm sorry to hear that.

I'M FEELING ANGRY,Oh no! I'm sorry to hear that.

I'M HEATED,Oh no! I'm sorry to hear that.

I'M ENRAGED,Oh no! I'm sorry to hear that.

I'M INFURIATED,Oh no! I'm sorry to hear that.

I'M ANNOYED,Oh no! I'm sorry to hear that.

I'M ANGRY,Oh no! I'm sorry to hear that.

I'M AN UNHAPPY CAMPER,Oh no! I'm sorry to hear that.

I'M AN ANGRY PERSON,Oh no! I'm sorry to hear that.

I'M AN ANGRY MAN,Oh no! I'm sorry to hear that.

I'M AN ANGRY GUY,Oh no! I'm sorry to hear that.

I'M AN ANGRY GIRL,Oh no! I'm sorry to hear that.

I'M ABSOLUTELY FURIOUS,Oh no! I'm sorry to hear that.

I'M EXASPERATED,Oh no! I'm sorry to hear that.

I'M REALLY HOT UNDER THE COLLAR RIGHT NOW,Oh no! I'm sorry to hear that.

I'M SO OUTRAGED,Oh no! I'm sorry to hear that.

I'M SO MAD RIGHT NOW,Oh no! I'm sorry to hear that.

I'M SO MAD,Oh no! I'm sorry to hear that.

I'M SO IRRITATED RIGHT NOW,Oh no! I'm sorry to hear that.

I'M SO IRRITATED,Oh no! I'm sorry to hear that.

I'M SO ANNOYED RIGHT NOW,Oh no! I'm sorry to hear that.

I'M SO ANNOYED,Oh no! I'm sorry to hear that.

I'M SO ANGRY, I COULD PUNCH A HOLE IN THE WALL,Oh no! I'm sorry to hear that.

I'M GOING BALLISTIC,Oh no! I'm sorry to hear that.

I'M SO ANGRY,Oh no! I'm sorry to hear that.

I HAVE BEEN SO MAD LATELY,Oh no! I'm sorry to hear that.

I'M PISSED OFF,Oh no! I'm sorry to hear that.

I'M PISSED,Oh no! I'm sorry to hear that.

I'M PEEVED,Oh no! I'm sorry to hear that.

I'M MAD,Oh no! I'm sorry to hear that.

I'M LOSING MY TEMPER,Oh no! I'm sorry to hear that.

I'M LIVID,Oh no! I'm sorry to hear that.

I'M JUST TICKED OFF,Oh no! I'm sorry to hear that.

I'M JUST EXASPERATED,Oh no! I'm sorry to hear that.

I'M SO ANGRY RIGHT NOW,Oh no! I'm sorry to hear that.

I AM FURIOUS,Oh no! I'm sorry to hear that.

I AM SO ANGRY RIGHT NOW,Oh no! I'm sorry to hear that.

I AM SO ANGRY,Oh no! I'm sorry to hear that.

I AM PISSED OFF,Oh no! I'm sorry to hear that.

I AM PISSED,Oh no! I'm sorry to hear that.

I AM PEEVED,Oh no! I'm sorry to hear that.

I AM MAD,Oh no! I'm sorry to hear that.

I AM LIVID,Oh no! I'm sorry to hear that.

I AM JUST TICKED OFF,Oh no! I'm sorry to hear that.

I SURE AM TICKED OFF,Oh no! I'm sorry to hear that.

I AM HEATED,Oh no! I'm sorry to hear that.

I AM SO IRRITATED,Oh no! I'm sorry to hear that.

I AM FEELING TICKED OFF ,Oh no! I'm sorry to hear that.

I AM FEELING KIND OF MAD,Oh no! I'm sorry to hear that.

I AM FEELING CROSS,Oh no! I'm sorry to hear that.

I AM FEELING ANGRY,Oh no! I'm sorry to hear that.

I AM ENRAGED,Oh no! I'm sorry to hear that.

I AM BLOWING MY TOP,Oh no! I'm sorry to hear that.

I AM ANNOYED,Oh no! I'm sorry to hear that.

I AM ANGRY,Oh no! I'm sorry to hear that.

I AM INFURIATED,Oh no! I'm sorry to hear that.

I AM SO PISSED OFF,Oh no! I'm sorry to hear that.

I'M SO PEEVED RIGHT NOW,Oh no! I'm sorry to hear that.

I FLIPPED MY LID,Oh no! I'm sorry to hear that.

I FEEL PISSED OFF LATELY,Oh no! I'm sorry to hear that.

I COULDN'T BE MORE ANGRY,Oh no! I'm sorry to hear that.

I CAN'T STOP BEING ANGRY,Oh no! I'm sorry to hear that.

I AM VEXED,Oh no! I'm sorry to hear that.

I AM UP IN ARMS,Oh no! I'm sorry to hear that.

I AM TICKED OFF,Oh no! I'm sorry to hear that.

I AM SO ANNOYED,Oh no! I'm sorry to hear that.

I AM SO PISSED OFF RIGHT NOW,Oh no! I'm sorry to hear that.

I AM SO ANNOYED RIGHT NOW,Oh no! I'm sorry to hear that.

I AM SO PEEVED TODAY,Oh no! I'm sorry to hear that.

I AM SO PEEVED RIGHT NOW,Oh no! I'm sorry to hear that.

I AM SO PEEVED,Oh no! I'm sorry to hear that.

I AM SO OUTRAGED RIGHT NOW,Oh no! I'm sorry to hear that.

I AM SO OUTRAGED,Oh no! I'm sorry to hear that.

I AM SO MAD RIGHT NOW,Oh no! I'm sorry to hear that.

I AM SO MAD,Oh no! I'm sorry to hear that.

I AM SO IRRITATED RIGHT NOW,Oh no! I'm sorry to hear that.

I JUST BLEW A GASKET,Oh no! I'm sorry to hear that.

I AM STEAMING MAD,Oh no! I'm sorry to hear that.

THIS NEWS LEFT ME LIVID,Oh no! I'm sorry to hear that.

I'M SO IRATE,Oh no! I'm sorry to hear that.

I'M SEEING RED RIGHT NOW,Oh no! I'm sorry to hear that.

THIS MAKES ME SO ANGRY,Oh no! I'm sorry to hear that.

THIS NEWS PISSED  ME OFF,Oh no! I'm sorry to hear that.

THIS NEWS LEFT ME VEXED,Oh no! I'm sorry to hear that.

THIS NEWS LEFT ME UP IN ARMS,Oh no! I'm sorry to hear that.

THIS NEWS LEFT ME TICKED OFF,Oh no! I'm sorry to hear that.

THIS NEWS LEFT ME PISSED,Oh no! I'm sorry to hear that.

THIS MADE ME BLOW A GASKET,Oh no! I'm sorry to hear that.

THIS NEWS LEFT ME MAD,Oh no! I'm sorry to hear that.

I'M OUTRAGED,Oh no! I'm sorry to hear that.

THIS NEWS LEFT ME IRRITATED,Oh no! I'm sorry to hear that.

THIS NEWS LEFT ME INFURIATED,Oh no! I'm sorry to hear that.

THIS NEWS LEFT ME EXASPERATED,Oh no! I'm sorry to hear that.

THIS NEWS LEFT ME ANNOYED,Oh no! I'm sorry to hear that.

THIS NEWS IS INFURIATING,Oh no! I'm sorry to hear that.

THIS NEWS IS AN OUTRAGE,Oh no! I'm sorry to hear that.

THIS NEWS ENRAGED ME,Oh no! I'm sorry to hear that.

I'M SO OUTRAGED RIGHT NOW,Oh no! I'm sorry to hear that.

THIS NEWS LEFT ME PEEVED,Oh no! I'm sorry to hear that.

THIS NEWS LEFT ME IRATE,Oh no! I'm sorry to hear that.

THIS NEWS LEFT ME INCENSED,Oh no! I'm sorry to hear that.

I'M SO INFURIATED,Oh no! I'm sorry to hear that.

I'M FEELING INCENSED,Oh no! I'm sorry to hear that.

I'M SO INCENSED,Oh no! I'm sorry to hear that.

I'M INCENSED,Oh no! I'm sorry to hear that.

I AM INCENSED,Oh no! I'm sorry to hear that.

I'M SO FURIOUS,Oh no! I'm sorry to hear that.

THIS NEWS LEFT ME FURIOUS,Oh no! I'm sorry to hear that.

THIS MAKES ME SO IRATE,Oh no! I'm sorry to hear that.

THIS NEWS LEFT ME OUTRAGED,Oh no! I'm sorry to hear that.

I AM OUTRAGED,Oh no! I'm sorry to hear that.

I'M GOING TO RAGE,Oh no! I'm sorry to hear that.

I'M RAGING RIGHT NOW,Oh no! I'm sorry to hear that.

I AM ABOUT TO RAGE,Oh no! I'm sorry to hear that.

I'M ABOUT TO RAGE,Oh no! I'm sorry to hear that.

I JUST LOST MY TEMPER,Oh no! I'm sorry to hear that.

I AM SO IRATE,Oh no! I'm sorry to hear that.

THIS MAKES ME LOST MY TEMPER,Oh no! I'm sorry to hear that.

I'M ABOUT TO LOSE MY TEMPER,Oh no! I'm sorry to hear that.

THIS IS VEXING,Oh no! I'm sorry to hear that.

I'VE NEVER BEEN SO IRATE,Oh no! I'm sorry to hear that.

I'VE LOST MY TEMPER,Oh no! I'm sorry to hear that.

I'VE NEVER BEEN SO FURIOUS IN ALL MY LIFE,Oh no! I'm sorry to hear that.

I'VE NEVER BEEN SO FURIOUS,Oh no! I'm sorry to hear that.

I'VE NEVER BEEN SO ENRAGED IN ALL MY LIFE,Oh no! I'm sorry to hear that.

I'VE NEVER BEEN SO ENRAGED,Oh no! I'm sorry to hear that.

I'VE NEVER BEEN SO CROSS,Oh no! I'm sorry to hear that.

I'VE NEVER BEEN SO ANNOYED IN ALL MY LIFE,Oh no! I'm sorry to hear that.

I'VE NEVER BEEN SO ANNOYED,Oh no! I'm sorry to hear that.

I'VE NEVER BEEN SO ANGRY IN ALL MY LIFE,Oh no! I'm sorry to hear that.

THIS MADE ME BLOW MY TOP,Oh no! I'm sorry to hear that.

I'VE NEVER BEEN ANGRIER,Oh no! I'm sorry to hear that.

I'VE NEVER BEEN SO LIVID,Oh no! I'm sorry to hear that.

I'VE COMPLETELY LOST MY TEMPER,Oh no! I'm sorry to hear that.

I'M VEXED,Oh no! I'm sorry to hear that.

I'M UP IN ARMS,Oh no! I'm sorry to hear that.

I'M TICKED OFF,Oh no! I'm sorry to hear that.

I'M SO PISSED OFF RIGHT NOW,Oh no! I'm sorry to hear that.

I'M SO PISSED OFF,Oh no! I'm sorry to hear that.

I'M SO PEEVED TODAY,Oh no! I'm sorry to hear that.

I'VE NEVER BEEN SO INCENSED,Oh no! I'm sorry to hear that.

I'VE NEVER BEEN MADDER,Oh no! I'm sorry to hear that.

I'VE NEVER BEEN SO PISSED OFF,Oh no! I'm sorry to hear that.

THIS IS MADDENING,Oh no! I'm sorry to hear that.

THIS IS IRRITATING,Oh no! I'm sorry to hear that.

THIS IS INFURIATING,Oh no! I'm sorry to hear that.

THIS IS EXASPERATING,Oh no! I'm sorry to hear that.

THIS IS ANNOYING,Oh no! I'm sorry to hear that.

THE NEWS MADE ME ANGRY,Oh no! I'm sorry to hear that.

I'VE NEVER BEEN SO VEXED IN ALL MY LIFE,Oh no! I'm sorry to hear that.

I'VE NEVER BEEN SO VEXED,Oh no! I'm sorry to hear that.

I'VE NEVER BEEN SO INFURIATED,Oh no! I'm sorry to hear that.

I'VE NEVER BEEN SO TICKED OFF,Oh no! I'm sorry to hear that.

I'VE NEVER BEEN SO INFURIATED IN ALL MY LIFE,Oh no! I'm sorry to hear that.

I'VE NEVER BEEN SO PISSED IN ALL MY LIFE,Oh no! I'm sorry to hear that.

I'VE NEVER BEEN SO PISSED,Oh no! I'm sorry to hear that.

I'VE NEVER BEEN SO PEEVED IN ALL MY LIFE,Oh no! I'm sorry to hear that.

I'VE NEVER BEEN SO PEEVED,Oh no! I'm sorry to hear that.

I'VE NEVER BEEN SO OUTRAGED IN ALL MY LIFE,Oh no! I'm sorry to hear that.

I'VE NEVER BEEN SO OUTRAGED,Oh no! I'm sorry to hear that.

I'VE NEVER BEEN SO MAD IN ALL MY LIFE,Oh no! I'm sorry to hear that.

I'VE NEVER BEEN SO LIVID IN ALL MY LIFE,Oh no! I'm sorry to hear that.

I'M SO PEEVED,Oh no! I'm sorry to hear that.

I'VE NEVER BEEN SO TICKED OFF IN ALL MY LIFE,Oh no! I'm sorry to hear that.

HOLD MY CALLS,Talk to you later!

CAN YOU HANG ON? ,Talk to you later!

CAN'T WAIT TO TALK MORE WHEN I RETURN,Talk to you later!

DON'T WORRY BOT I'LL BE BACK,Talk to you later!

DON'T YOU FRET, I'LL BE COMING BACK,Talk to you later!

DON'T YOU WORRY, I'LL BE BACK,Talk to you later!

AWAIT MY RETURN,Talk to you later!

HANG ON,Talk to you later!

CALM DOWN, I'LL BE BACK,Talk to you later!

HOLD ON A SEC,Talk to you later!

I SHALL RETURN,Talk to you later!

I WILL BE BACK,Talk to you later!

I WILL BE BACK A BIT LATER,Talk to you later!

I WILL RETURN IN A BIT,Talk to you later!

I WILL RETURN SHORTLY,Talk to you later!

GOTTA GO, BE BACK LATER,Talk to you later!

BE BACK SHORTLY,Talk to you later!

BACK IN A COUPLE OF MINUTES,Talk to you later!

BACK IN A FLASH,Talk to you later!

BACK IN A MINUTE,Talk to you later!

BACK IN JUST A FEW MOMENTS,Talk to you later!

BACK IN JUST A SECOND,Talk to you later!

BE BACK A LITTLE LATER,Talk to you later!

CAN YOU HANG ON A MINUTE? ,Talk to you later!

BE BACK IN JUST A BIT,Talk to you later!

CALM DOWN, I'LL BE BACK SHORTLY,Talk to you later!

BE BACK SOON,Talk to you later!

BE RIGHT BACK,Talk to you later!

BRB,Talk to you later!

BRB BB,Talk to you later!

BRB BOT,Talk to you later!

I'LL BE BACK AFTER WORK,Talk to you later!

BE BACK IN A DASH,Talk to you later!

OBVIOUSLY I'LL BE BACK SOON,Talk to you later!

I'LL BE BACK,Talk to you later!

I'LL COME BACK IN A BIT,Talk to you later!

I'LL COME BACK TO YOU IN A BIT,Talk to you later!

I'LL SWING BACK AROUND LATER,Talk to you later!

I'M COMING RIGHT BACK,Talk to you later!

L8R,Talk to you later!

I'LL BE RIGHT BACK DEAR,Talk to you later!

LET'S SHOOT THE BREEZE WHEN I RETURN,Talk to you later!

I'LL BE RIGHT BACK,Talk to you later!

SEE YA SHORTLY,Talk to you later!

SEE YOU SHORTLY,Talk to you later!

TALK TO YOU SOON,Talk to you later!

WE CAN KEEP CHATTING AFTER I GET BACK HOME,Talk to you later!

WE CAN KEEP CHOPPING IT UP LATER,Talk to you later!

WE CAN KEEP TALKING AFTER I GET BACK,Talk to you later!

LET'S PICK UP THIS CONVERSATION WHEN I GET BACK ,Talk to you later!

I'LL BE BACK NEXT WEEK,Talk to you later!

YOU SILLY BOT, I'LL BE BACK LATER,Talk to you later!

I'LL BE BACK AT MIDNIGHT,Talk to you later!

I'LL BE BACK BEFORE YOU KNOW IT,Talk to you later!

I'LL BE BACK BOT,Talk to you later!

I'LL BE BACK IN A FLASH,Talk to you later!

I'LL BE BACK IN THE MORNING,Talk to you later!

I'LL BRB,Talk to you later!

I'LL BE BACK LATER,Talk to you later!

I'LL BE BACK AFTER MY SHIFT,Talk to you later!

I'LL BE BACK SHORTLY,Talk to you later!

I'LL BE BACK SOON,Talk to you later!

I'LL BE BACK THIS AFTERNOON,Talk to you later!

I'LL BE BACK THIS EVENING,Talk to you later!

I'LL BE BACK TOMORROW,Talk to you later!

I'LL BE BACK TONIGHT,Talk to you later!

I'LL BE BACK IN TWO SHAKES OF A LAMB'S TAIL,Talk to you later!

I WAS SO BORED MY EYES GLAZED OVER,That's a drag.

BORED ZZZ,That's a drag.

I'M SO BORED RIGHT NOW,That's a drag.

I'M SO BORED,That's a drag.

I'M QUITE BORED,That's a drag.

I'M NOT HAVING VERY MUCH FUN RIGHT NOW,That's a drag.

I'M NOT HAVING VERY MUCH FUN,That's a drag.

I'M NOT HAVING FUN,That's a drag.

I'M FREAKING BORED,That's a drag.

I'M BORED TO DEATH,That's a drag.

I'M BORED STIFF,That's a drag.

I'M BORED OUT OF MY MIND,That's a drag.

I'M VERY BORED,That's a drag.

I'M BORED AF,That's a drag.

IT'S BEEN A BORING WEEK,That's a drag.

I COULD DIE FROM BOREDOM,That's a drag.

I CAN'T THINK OF ANYTHING I WANT TO DO,That's a drag.

I CAN'T HELP IT. I'M BORED,That's a drag.

I CAN'T HELP BUT BE BORED,That's a drag.

I AM SO BORED RIGHT NOW,That's a drag.

I AM SO BORED,That's a drag.

I AM BORED AT WORK,That's a drag.

I AM BORED,That's a drag.

I AM ALWAYS BORED,That's a drag.

I ALWAYS SEEM TO BE BORED,That's a drag.

HELP! I'M BORED.,That's a drag.

GOD, I AM SO BORED,That's a drag.

I'M BORED AS HELL,That's a drag.

THERE'S NOTHING TO DO,That's a drag.

WHAT A BORING WEDNESDAY,That's a drag.

WHAT A BORING TUESDAY,That's a drag.

WHAT A BORING THURSDAY,That's a drag.

WHAT A BORING SUNDAY,That's a drag.

WHAT A BORING SATURDAY,That's a drag.

WHAT A BORING NIGHT,That's a drag.

WHAT A BORING MORNING,That's a drag.

WHAT A BORING MONDAY,That's a drag.

WHAT A BORING FRIDAY,That's a drag.

WHAT A BORING DAY,That's a drag.

WHAT A BORING AFTERNOON,That's a drag.

I'M SUPER BORED,That's a drag.

TODAY HAS BEEN BORING,That's a drag.

WHAT A DULL DAY,That's a drag.

SO BORED,That's a drag.

MY DAY'S BEEN SO BORING,That's a drag.

MY DAY HAS BEEN SO DULL,That's a drag.

MONDAYS ARE SO BORING,That's a drag.

JEEZ I AM SO BORED,That's a drag.

I'VE NEVER BEEN SO BORED IN MY LIFE,That's a drag.

I'VE NEVER BEEN SO BORED ,That's a drag.

I'VE BEEN FEELING PRETTY BORED,That's a drag.

I'VE BEEN BORED ALL DAY,That's a drag.

IT'S JUST BEEN A BIT OF A DULL DAY,That's a drag.

IT'S BEEN AN AWFULLY BORING DAY,That's a drag.

IT'S BEEN A DULL ASS DAY,That's a drag.

TODAY HAS BEEN DULL,That's a drag.

I'M ABSOLUTELY ECSTATIC,I'm happy you're happy!

I'M HAPPY AF,I'm happy you're happy!

I’M HAVING A LOVELY DAY,I'm happy you're happy!

I’M HAVING A WONDERFUL DAY,I'm happy you're happy!

I’M IN SUCH A GREAT MOOD,I'm happy you're happy!

I’M ON CLOUD NINE,I'm happy you're happy!

I’M OVER THE MOON,I'm happy you're happy!

I’M OVERJOYED,I'm happy you're happy!

I’M THE HAPPIEST GUY ON EARTH,I'm happy you're happy!

I’M WALKING ON SUNSHINE,I'm happy you're happy!

I’VE NEVER BEEN HAPPIER,I'm happy you're happy!

I’M HAPPY AS A CLAM,I'm happy you're happy!

I'M ABSOLUTELY BUZZING,I'm happy you're happy!

I’M FEELING SO CHIPPER,I'm happy you're happy!

I'M ABSOLUTELY OVERJOYED,I'm happy you're happy!

I'M ALL SMILES,I'm happy you're happy!

I'M BURSTING WITH HAPPINESS,I'm happy you're happy!

I'M BURSTING WITH JOY,I'm happy you're happy!

I'M BUZZING,I'm happy you're happy!

I'M CHUFFED,I'm happy you're happy!

I'M EUPHORIC,I'm happy you're happy!

I'M FEELING CHEERY,I'm happy you're happy!

I'M FEELING CHIPPER,I'm happy you're happy!

BEST DAY EVER,I'm happy you're happy!

I'M A HAPPY CAMPER,I'm happy you're happy!

I COULDN’T BE HAPPIER,I'm happy you're happy!

I AM A BALL OF JOY,I'm happy you're happy!

I AM A HAPPY CAMPER,I'm happy you're happy!

I AM A JOLLY GREEN GIANT,I'm happy you're happy!

I AM A JOLLY PERSON,I'm happy you're happy!

I AM HAPPY,I'm happy you're happy!

I AM HAPPY, OH SO HAPPY,I'm happy you're happy!

I AM JOYOUS,I'm happy you're happy!

I AM SO JOLLY,I'm happy you're happy!

I CAN’T STOP SMILING,I'm happy you're happy!

I CAN'T HELP BUT BE HAPPY,I'm happy you're happy!

I’M HAVING A GOOD DAY,I'm happy you're happy!

I CAN'T STOP SMILING,I'm happy you're happy!

I'M HAPPY AS A CLAM,I'm happy you're happy!

I FEEL AMAZING,I'm happy you're happy!

I FEEL ELATED,I'm happy you're happy!

I FEEL FANTASTIC,I'm happy you're happy!

I FEEL LIKE I'M FLOATING ON AIR,I'm happy you're happy!

I FEEL SO GREAT,I'm happy you're happy!

I LOVE MY LIFE,I'm happy you're happy!

I’M A HAPPY CAMPER,I'm happy you're happy!

I’M ABSOLUTELY DELIGHTED,I'm happy you're happy!

I’M FEELING CHEERFUL,I'm happy you're happy!

I’M FEELING GIDDY,I'm happy you're happy!

I CAN'T HELP BUT BE JOYFUL,I'm happy you're happy!

MY SPIRITS ARE EXCELLENT,I'm happy you're happy!

I'M FEELING PEACHY,I'm happy you're happy!

I'M THE HAPPIEST GIRL IN THE WORLD,I'm happy you're happy!

I'M THE HAPPIEST GIRL ON EARTH,I'm happy you're happy!

I'M THE HAPPIEST GUY IN THE WORLD,I'm happy you're happy!

I'M THE HAPPIEST MAN IN THE WORLD,I'm happy you're happy!

I'M TICKLED PINK,I'm happy you're happy!

IT'S HARD NOT TO BE HAPPY,I'm happy you're happy!

I'VE NEVER BEEN HAPPIER,I'm happy you're happy!

LIFE IS AMAZING,I'm happy you're happy!

LIFE IS AWESOME,I'm happy you're happy!

I'M THE HAPPIEST GAL IN THE WORLD,I'm happy you're happy!

LIFE IS GOOD,I'm happy you're happy!

I'M THE HAPPIEST BOY IN THE WORLD,I'm happy you're happy!

OH HAPPY DAY,I'm happy you're happy!

TODAY IS THE BEST,I'm happy you're happy!

WE COULDN’T BE HAPPIER,I'm happy you're happy!

WHAT A FANTASTIC DAY,I'm happy you're happy!

WHAT A GLORIOUS DAY,I'm happy you're happy!

WHAT A GREAT DAY,I'm happy you're happy!

WHAT A HAPPY DAY,I'm happy you're happy!

WHAT A JOYOUS DAY,I'm happy you're happy!

WHAT AN AMAZING DAY,I'm happy you're happy!

WHAT CAN I SAY? I'M JUST HAPPY,I'm happy you're happy!

LIFE IS BEAUTIFUL,I'm happy you're happy!

I'M ON CLOUD 9,I'm happy you're happy!

I'M HAVING A GREAT DAY,I'm happy you're happy!

I'M IN A GREAT MOOD,I'm happy you're happy!

I'M IN GOOD SPIRITS,I'm happy you're happy!

I'M IN SUCH A GOOD MOOD,I'm happy you're happy!

I'M JOYOUS,I'm happy you're happy!

I'M JUST A CHEERFUL GAL,I'm happy you're happy!

I'M JUST A CHEERFUL GIRL,I'm happy you're happy!

I'M JUST A CHEERFUL KIND OF GUY,I'm happy you're happy!

I'M JUST A CHEERFUL PERSON,I'm happy you're happy!

I'M JUST A CHEERY PERSON,I'm happy you're happy!

I'M THE HAPPIEST GAL ON EARTH,I'm happy you're happy!

I'M LIVING THE DREAM,I'm happy you're happy!

YOU'VE NEVER MET ANYONE MORE JOYFUL THAN ME,I'm happy you're happy!

I'M ON CLOUD NINE,I'm happy you're happy!

I'M ON TOP OF THE WORLD,I'm happy you're happy!

I'M ONE HAPPY CAMPER,I'm happy you're happy!

I'M OVER THE MOON,I'm happy you're happy!

I'M POSITIVELY BUZZING,I'm happy you're happy!

I'M POSITIVELY ECSTATIC,I'm happy you're happy!

I'M POSITIVELY OVERJOYED,I'm happy you're happy!

I'M SO GOSH DARN HAPPY,I'm happy you're happy!

I'M SO HAPPY,I'm happy you're happy!

I'M SO HAPPY I COULD JUST DIE,I'm happy you're happy!

I'M JUST THRILLED,I'm happy you're happy!

I HAVE RETURNED,Hey there!

AND WE'RE BACK,Hey there!

BOT I'M HERE,Hey there!

BRO I'M HERE,Hey there!

GIRL I AM BACK,Hey there!

HERE I AM,Hey there!

HERE I AM DUDE,Hey there!

HEY DUDE, I'M BACK,Hey there!

HEY I'M BACK,Hey there!

I AM HERE,Hey there!

I AM PRESENT,Hey there!

AND NOW I'M BACK,Hey there!

I HAVE ARRIVED,Hey there!

YOUR GIRL IS BACK,Hey there!

I'M BACK,Hey there!

I'M BACK ON THE COMPUTER,Hey there!

I'M HERE IN THE FLESH,Hey there!

SUP I'M BACK,Hey there!

TADA! HERE I AM!,Hey there!

TADA! I'M BACK,Hey there!

TADA! I'M HERE,Hey there!

YO I'M BACK,Hey there!

YOU BETTER BELIEVE I'M HERE,Hey there!

YOUR BOY IS BACK,Hey there!

I AM PRESENT AND ACCOUNTED FOR,Hey there!

I REQUIRE SUSTENANCE,Sounds like it's time for a snack.

HANGRY,Sounds like it's time for a snack.

I FEEL PECKISH,Sounds like it's time for a snack.

I HAVE HUNGER,Sounds like it's time for a snack.

I HAVE THE MUNCHIES,Sounds like it's time for a snack.

I NEED FOOD IN MY BELLY,Sounds like it's time for a snack.

I FEEL A LITTLE PECKISH,Sounds like it's time for a snack.

I NEED SUSTENANCE,Sounds like it's time for a snack.

I COULD EAT A HORSE,Sounds like it's time for a snack.

I WANT A SNACK,Sounds like it's time for a snack.

I WANT FOOD,Sounds like it's time for a snack.

I WANT NOMS,Sounds like it's time for a snack.

I WANT SOME FOOD,Sounds like it's time for a snack.

I WANT TO EAT,Sounds like it's time for a snack.

I'D LOVE SOME FOOD,Sounds like it's time for a snack.

I NEED NOMS,Sounds like it's time for a snack.

I AM SO HUNGRY,Sounds like it's time for a snack.

HUNGER,Sounds like it's time for a snack.

HUNGRY,Sounds like it's time for a snack.

I AM A LITTLE HUNGRY,Sounds like it's time for a snack.

I AM FAMISHED,Sounds like it's time for a snack.

I AM FEELING PECKISH,Sounds like it's time for a snack.

I FEEL HUNGRY,Sounds like it's time for a snack.

I AM HUNGRY,Sounds like it's time for a snack.

I'M CRAVING A SNACK,Sounds like it's time for a snack.

I AM SO HUNGRY I COULD EAT A HORSE,Sounds like it's time for a snack.

I AM STARVING,Sounds like it's time for a snack.

I AM SUPER HUNGRY,Sounds like it's time for a snack.

I AM VERY HUNGRY,Sounds like it's time for a snack.

I COULD EAT,Sounds like it's time for a snack.

I COULD EAT A BEAR,Sounds like it's time for a snack.

I AM HANGRY,Sounds like it's time for a snack.

MY TUMMY IS RUMBLING,Sounds like it's time for a snack.

I'M VERY HUNGER,Sounds like it's time for a snack.

I'VE GOT THE MUNCHIES,Sounds like it's time for a snack.

ME HUNGRY,Sounds like it's time for a snack.

ME WANT FOOD,Sounds like it's time for a snack.

MY STOMACH IS GROWLING,Sounds like it's time for a snack.

I'M A BIT PECKISH,Sounds like it's time for a snack.

MY TUMMY IS GROWLING,Sounds like it's time for a snack.

I'M STARVING,Sounds like it's time for a snack.

NEED FOOD,Sounds like it's time for a snack.

NEED FOOD NOW,Sounds like it's time for a snack.

NEED NOMS,Sounds like it's time for a snack.

NOM,Sounds like it's time for a snack.

NOM NOM NOM,Sounds like it's time for a snack.

WANT FOOD NOW,Sounds like it's time for a snack.

MY STOMACH IS RUMBLING,Sounds like it's time for a snack.

I'M HUNGRY,Sounds like it's time for a snack.

SO HUNGRY,Sounds like it's time for a snack.

I'M CRAVING FOOD,Sounds like it's time for a snack.

I'M FAMISHED,Sounds like it's time for a snack.

I'M FEELING A LITTLE HUNGRY,Sounds like it's time for a snack.

I'M FEELING HANGRY,Sounds like it's time for a snack.

